"UI 요소명","Figma 프레임명","위치","지원 및 연결 패널","동작 형태","설명/메뉴"
"참여","Multi Start","하단2","User Management","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","참여자는 방번호와 비밀번호를 입력 후 참여 버튼을 눌러 멀티플레이에 참여 합니다."
"종료","Multi Start","하단3","-","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","멀티플레이어 설정 세션을 종료합니다."
"유저이름","User Management","상단","-","자동으로 들어옴","멀티플레이 참여자의 이름이 자동으로 표시됩니다."
"음량","User Management","중단","","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1 거나 드레그","멀티플레이어 내 음량을 드래그하여 조절 할 수 있습니다."
"음소거","User Management","하단1","-","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","멀티플레이 내 음소거 기능을 켜거나 끕니다."
"추방","User Management","하단 2","-","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","멀티플레이에서 특정 사용자를 추방합니다."
"종료","User Management","하단 3","-","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","멀티플레이를 종료 합니다."
"지우개","Drawing panel","상단 1","-","키보드에 오른쪽 컨트롤러 포인터 → 트리거 누르기 1 or 지속, 스틱으로 크기 조절","브러시로 그린 객체을 삭제하는 기능을 합니다. 컨트롤러 트리거를 짧게 눌러 단일 객체를 지울 수 있으며 길게 눌러 여러 단일 객체들을 연속으로 지울 수 있습니다. 스틱으로 지우개 크기를 조절할 수 있습니다."
"페인트툴","Drawing panel","상단 2","Repaint","키보드에 오른쪽 컨트롤러 포인터 → 트리거 누르기 1 or 지속, 스틱으로 크기 조절","브러쉬로 그린 객체에 다른 브러쉬나 컬러를 입힐 수 있습니다. 지터를 사용하여 일정한 값들을 연속으로 적용 시킬 수 있습니다."
"크기","Repaint","1줄","","키보드에 오른쪽 컨트롤러 포인터 → 트리거 누르기 1 or 드레그","지터의 크기는 그려진 객체에 다시 칠할 때 입력된 수치치 만큼의 크기를 연속으로 조정해 줄 수 있습니다."
"알파","Repaint","2줄","","키보드에 오른쪽 컨트롤러 포인터 → 트리거 누르기 1 or 드레그","지터의 알파는 그려진 객체에 다시 칠할 때 입력된 수치 만큼의 투명도를 연속으로 조정해 줄 수 있습니다."
"색조","Repaint","3줄","","키보드에 오른쪽 컨트롤러 포인터 → 트리거 누르기 1 or 드레그","지터의 색조는 그려진 객체에 다시 칠할 때 입력된 수치 만큼의 색상 톤을 연속으로 조정해 줄 수 있습니다."
"채도","Repaint","4줄","","키보드에 오른쪽 컨트롤러 포인터 → 트리거 누르기 1 or 드레그","지터의 채는 그려진 객체에 다시 칠할 때 입력된 수치 만큼의 선명도을 연속으로 조정해 줄 수 있습니다. 채도가 높을 수록 선명한 색상을 낮을 수록 회색에 가까운 색이 됩니다."
